AuthorName,aPublication,coAuthor,yearsInField,venueImpact,h-Index,i10-Index,aRefs,TotalCitation,CitationsPerYear
Mario Alberto L\xc3\xb3pez,1.142857143,2.142857143,14,25.71428571,5,1,1.285714286,49,3.5
Mario Barbacci,1.578947368,4.473684211,28,39.26315789,17,20,0.894736842,1740,62.14285714
Mario Blaum,2.263157895,4.947368421,24,122.6842105,18,24,6.789473684,1482,61.75
Mario C\xc3\xa1mara,1.5,7,2,30,2,1,8.5,19,9.5
Mario Dal Cin,1.739130435,3.391304348,35,16.60869565,11,14,0.47826087,420,12
Mario Diaz-Nava,1.2,7,7,33.2,5,5,5,362,51.71428571
Mario Dufresne,1,4.5,8,26,3,3,0.5,102,12.75
Mario Garc\xc3\xada-Valderas,2.4,20,5,58.8,4,1,0.2,42,8.4
Mario Garrido,1,16,1,12,1,0,0,4,4
Mario J. Gonzalez,1.444444444,2.111111111,21,40.11111111,3,2,1.555555556,58,2.761904762
Mario J. Gonzalez Jr.,1,0.666666667,14,30.33333333,1,1,4.333333333,14,1
Mario Jino,2.538461538,7.615384615,31,36.69230769,9,9,3.846153846,284,9.161290323
Mario K\xc3\xb6rner,0,25,1,0,0,0,0,0,0
Mario Kicherer,0,17,1,0,0,0,12,0,0
Mario Konijnenburg,0,73,1,0,0,0,0,0,0
Mario Kovac,1.166666667,1.833333333,15,25.5,4,3,0.166666667,69,4.6
Mario Lassnig,1,22,1,16,1,0,19,7,7
Mario Lauria,3.181818182,7.545454545,13,71.81818182,15,22,2.818181818,1387,106.6923077
Mario Leyton,2.25,6.75,4,39.25,5,3,6.25,94,23.5
Mario Lopez-Ramos,2.5,29,2,40,3,2,0,43,21.5
Mario M\xc3\xa9ndez-Lojo,2.5,17.5,2,32.5,4,4,54,85,42.5
Mario Nakazawa,1.25,2.75,6,32,4,2,11.25,40,6.666666667
Mario Nemirovsky,1.833333333,10.5,18,35.33333333,7,5,10.33333333,172,9.555555556
Mario Nicola,1.2,4,6,23.8,4,1,0.6,47,7.833333333
Mario Porrmann,4.6,22.4,12,84.9,17,24,3,754,62.83333333
Mario R. Casu,2.625,8.5,8,52.875,9,9,7.625,269,33.625
Mario R. Guarracino,1.625,7.25,15,26.5,5,2,0.25,64,4.266666667
Mario Rotea,1,3,6,27,2,0,0,13,2.166666667
Mario Rotigni,0,8,1,0,0,0,2,0,0
Mario S\xc3\xbcdholt,2.8,10.33333333,17,38.26666667,16,21,8.866666667,1375,80.88235294
Mario Sanchez,1,8,12,17,2,0,10,12,1
Mario Sch\xc3\xb6lzel,1.5,5.5,4,15.75,2,1,2.5,13,3.25
Mario Schkolnick,1.722222222,6.222222222,34,67.27777778,19,21,4.833333333,2276,66.94117647
Mario Schulz,1,4,1,8,0,0,0,0,0
Mario Steinert,1.5,5,3,55,2,1,5,39,13
Mario Tokoro,3.772727273,5.636363636,27,89.54545455,22,40,5.545454545,2467,91.37037037
Mario Toma,2,7.666666667,6,52.66666667,5,3,3,98,16.33333333
Mario Trapp,2,11.4,7,24.6,5,3,3.4,66,9.428571429
Mario Vittes,1,6,2,31,2,2,8.5,82,41
Mario Wolczko,1.545454545,3.545454545,22,30.81818182,8,8,6.636363636,277,12.59090909
Marion Cohen,1,2.666666667,18,18.33333333,0,0,0,0,0
Marion G. Ceruti,2.3,7.5,11,31.9,8,7,2.8,154,14
Marios C. Papaefthymiou,4.125,9.375,17,106.5625,23,48,12.5625,2018,118.7058824
Marios D. Dikaiakos,3.823529412,16.35294118,22,70.41176471,18,31,11.17647059,962,43.72727273
Marios Evripidou,0,3,1,0,0,0,0,0,0
Marios Kalathas,1,6,4,13,2,0,1.5,6,1.5
Marios Kleanthous,2,10,1,51,2,0,20,13,13
Marios M. Polycarpou,2.384615385,9.538461538,18,75.76923077,16,18,1.384615385,2385,132.5
Marisa A. Vasconcelos,1.333333333,9.333333333,4,30,2,1,0.333333333,40,10
Marisa Eisenberg,0,2,1,0,0,0,0,0,0
Marisa L\xc3\xb3pez-Vallejo,3.4,14.8,7,37.8,5,2,11.4,66,9.428571429
Marisa Luisa L\xc3\xb3pez-Vallejo,2,4,6,36,5,4,8.6,183,30.5
Marisha Rawlins,0,4,1,0,0,0,8,0,0
Marius Bonaciu,1.4,5.6,5,30.6,5,5,4.6,143,28.6
Marius Bozga,3.416666667,24.16666667,12,65.91666667,30,36,15.66666667,2545,212.0833333
Marius Evers,2.5,6.5,12,84.5,9,9,19.75,1014,84.5
Marius Gligor,1,21,1,12,1,0,20,6,6
Marius Grann\xc3\xa6s,1.5,8.5,3,15,2,0,6.5,9,3
Marius Mikucionis,1.666666667,27,5,24.66666667,5,5,13,315,63
Marius Monton,1.5,19,2,20,2,0,2.5,5,2.5
Marius Nita,1.5,3.5,5,35.5,3,2,28.5,34,6.8
Marius Olafsson,1,1,1,50,1,0,0,9,9
Marius Pirvu,1.666666667,5.666666667,3,44.33333333,3,2,6.666666667,58,19.33333333
Marius Sida,1,1.5,4,20,1,0,0,9,2.25
Marius Strum,1.5,9.333333333,11,19.16666667,3,1,3.333333333,26,2.363636364
Mariusz H. Jakubowski,2.142857143,7.571428571,14,34.28571429,9,8,18.85714286,541,38.64285714
Mariusz Zi\xc3\xb3lko,1.6,7,16,27,2,0,0,10,0.625
Mariza Andrade da Silva Bigonha,1.5,6.375,10,26,4,2,1.125,49,4.9
Marjan Karkooti,1.5,2.75,5,34.25,6,5,1.5,248,49.6
Marjan Mernik,4,23.28571429,15,77.92857143,19,30,16.85714286,2347,156.4666667
Marjorie Devaney,1,2,7,34,1,1,0,10,1.428571429
Marjory J. Johnson,1.2,4,22,42.2,5,4,0.2,531,24.13636364
Mark A. Bate,2,32,1,122,2,1,0,22,22
Mark A. Erle,1.2,3.6,6,18.8,5,5,0,258,43
Mark A. Franklin,2.074074074,4.62962963,35,57,21,33,3.296296296,1371,39.17142857
Mark A. Hillebrand,2,18.4,11,30.2,7,7,13.6,232,21.09090909
Mark A. Holliday,1.45,2.45,24,28.65,13,17,5.5,1033,43.04166667
Mark A. Horowitz,1.571428571,4.857142857,25,54.42857143,6,6,1.857142857,177,7.08
Mark A. Johnson,1.222222222,3.888888889,17,60.88888889,5,3,0,186,10.94117647
Mark A. Lavin,1.428571429,5.285714286,25,42.42857143,8,8,1.285714286,689,27.56
Mark A. Moraes,1,45,3,49.33333333,2,2,1.666666667,258,86
Mark A. Nichols,2.142857143,6.428571429,13,51,8,7,4.571428571,171,13.15384615
Mark A. Stadtherr,1.285714286,3,9,27.42857143,6,4,2.571428571,95,10.55555556
Mark A. Stalzer,1.5,2.75,7,37.75,3,0,0,23,3.285714286
Mark A. Taylor,1,10.5,5,25.5,4,4,3,116,23.2
Mark Aagaard,2.642857143,5.428571429,17,59.42857143,17,21,7.285714286,828,48.70588235
Mark Adams,1,1.666666667,7,27.66666667,1,0,0,2,0.285714286
Mark Aldham,0,10,1,0,0,0,0,0,0
Mark Alexandre,1,3,1,32,1,0,3,6,6
Mark Anders,1.444444444,17.22222222,22,27.77777778,5,3,3.555555556,236,10.72727273
Mark Anderson,1,6,20,17.83333333,2,1,0.666666667,156,7.8
Mark B. Bucciero,1,7,6,19,2,1,0,42,7
Mark B. Josephs,1.666666667,1.666666667,22,25.5,12,15,1.722222222,596,27.09090909
Mark B. Reinhold,1,0.5,9,37,1,1,14.5,83,9.222222222
Mark B. Ritter,1,7,15,24.25,4,3,0.5,266,17.73333333
Mark B. Yeary,3.142857143,18.71428571,7,98.28571429,9,8,0,320,45.71428571
Mark Baertschy,1,1,1,37,1,1,2,10,10
Mark Bapst,1,4,1,32,0,0,0,0,0
Mark Basel,1,4.333333333,15,28.33333333,2,1,0,15,1
Mark Batty,0,21,1,0,0,0,0,0,0
Mark Beardslee,1,1.5,5,29.5,2,2,1.5,33,6.6
Mark Bernd Kulaczewski,1.375,7.375,10,33.875,5,4,1.125,140,14
Mark Bolliger,1,22,1,25,1,1,1,19,19
Mark Bromley,1,7,6,21,2,2,2,1652,275.3333333
Mark Bucciero,1,7,3,12.5,2,2,0,30,10
Mark Bull,2.785714286,9.285714286,17,58.28571429,15,22,2.142857143,1316,77.41176471
Mark Burton,1,6,11,21,3,1,0.666666667,45,4.090909091
Mark C. Baker,1,2.5,20,22.5,2,1,1,124,6.2
Mark C. Hersam,1,0,1,15,0,0,0,0,0
Mark C. Johnson,1.285714286,2.571428571,9,27,6,6,1.857142857,915,101.6666667
Mark C. Toburen,1,3,4,29,3,3,0,341,85.25
Mark Calleja,1.25,11.5,9,23.75,2,0,0,17,1.888888889
Mark Charney,1,6.333333333,10,35.66666667,2,2,3,168,16.8
Mark Christiaens,2.555555556,8.666666667,10,53.22222222,11,13,7.333333333,322,32.2
Mark Christon,1,2.5,10,37,1,0,0,8,0.8
Mark Cobban,1,7.5,2,30,2,1,1.5,22,11
Mark Craig,1.5,4.5,5,34,3,0,1,22,4.4
Mark Crovella,4.235294118,11.58823529,18,158.5882353,44,66,17.41176471,13765,764.7222222
Mark D. Dooley,1,3,1,32,1,0,3,8,8
Mark D. Hill,4.125,14.125,26,154.5833333,58,84,36.70833333,12536,482.1538462
Mark D. Krasniewski,2,6.666666667,6,54,6,6,9,225,37.5
Mark D. Matson,1,0,1,32,1,1,0,12,12
Mark D. Spiller,1,1.5,2,29.5,2,2,2.5,92,46
Mark Davies,1,10.66666667,10,16.66666667,1,1,0.666666667,14,1.4
Mark De Wit,1,4,1,18,1,1,0,128,128
Mark Domaszewicz,1,0,1,32,0,0,0,0,0
Mark Edwards,1.5,5.75,13,37.75,4,3,4,110,8.461538462
Mark Elgood,1,21,1,32,0,0,0,0,0
Mark F. Adams,1,2.666666667,4,37,0,0,3,0,0
Mark Falco,1,2,1,18,1,1,0,17,17
Mark Fiala,2.714285714,3.285714286,14,71.71428571,10,10,2.571428571,564,40.28571429
Mark Friedell,1.285714286,3.857142857,17,40.28571429,6,6,2.142857143,167,9.823529412
Mark G. Arnold,2.75,5.5,19,53.41666667,11,15,3.666666667,405,21.31578947
Mark G. Karpovsky,2.333333333,4.7,32,67.96666667,23,41,1.266666667,1860,58.125
Mark G. Stoodley,1.142857143,5.285714286,13,28.71428571,7,6,10.85714286,286,22
Mark Gebhart,0,26,1,0,0,0,15,0,0
Mark Genoe,1,3.8,9,24.8,4,2,0.4,45,5
Mark Giampapa,3.142857143,68.57142857,11,74.57142857,13,14,8.857142857,1496,136
Mark Gottscho,0,6,1,0,0,0,0,0,0
Mark Greenberg,1,11.5,18,38,2,1,2,63,3.5
Mark H. Kryder,1,2,1,37,0,0,0,0,0
Mark H. Liffiton,1.6,4.8,5,39.8,7,7,13.6,368,73.6
Mark H. Weaver,1,1,1,42,1,1,10,76,76
Mark Haakmeester,1,6,1,37,0,0,0,0,0
Mark Hampton,1.5,8.25,7,46.75,5,3,13.75,401,57.28571429
Mark Harris,1,5.5,22,35.5,4,2,3.333333333,612,27.81818182
Mark Hayes,1.333333333,6,3,30,3,1,1,22,7.333333333
Mark Heffernan,1,2.333333333,7,34,3,2,15.33333333,117,16.71428571
Mark Heinrich,2.555555556,8.666666667,14,78.22222222,12,13,18.55555556,2715,193.9285714
Mark Hempstead,2,10.25,5,49.25,6,5,12.75,1048,209.6
Mark Hereld,1.333333333,25.66666667,9,36.16666667,4,4,1,91,10.11111111
Mark Hirsch,1,1.5,5,30,1,0,0,5,1
Mark Hoemmen,2,26,1,164,2,2,4,42,42
Mark Hofmann,1,7,1,32,0,0,0,0,0
Mark Holland,1.3,3.2,16,33.2,11,11,4.3,716,44.75
Mark Hopkins,1.428571429,1.857142857,8,47.42857143,5,4,4.142857143,411,51.375
Mark Horowitz,3.375,16.875,26,116.25,43,60,21.66666667,10899,419.1923077
Mark Howison,0,37,1,0,0,0,0,0,0
Mark I. Parsons,1,1,1,37,0,0,0,0,0
Mark J. Boyd,1,6.5,2,18,2,1,0,29,14.5
Mark J. Charney,1,2,12,22.66666667,3,2,2,104,8.666666667
Mark J. Cianchetti,1,5,1,20,1,1,11,11,11
Mark J. Clement,3.428571429,12.92857143,17,70.57142857,14,19,2.285714286,909,53.47058824
Mark J. Flomenhoft,1,0.5,5,32,0,0,0,0,0
Mark Jasiunas,1.333333333,3,6,24.33333333,4,3,0,54,9
Mark Johnson,4.5,11.13636364,25,231.6363636,42,79,14.81818182,5961,238.44
Mark Jones,1.857142857,20.85714286,18,33.57142857,6,6,1.714285714,236,13.11111111
Mark K. Gardner,2.166666667,7.333333333,10,56.5,9,9,2.166666667,241,24.1
Mark K. Seager,1,57,15,27.5,2,2,0,419,27.93333333
Mark Kahrs,1.166666667,2.5,28,28.66666667,3,2,1.5,49,1.75
Mark Kai Ho Yeung,2.5,2.75,5,72.5,5,3,4.75,91,18.2
Mark Kassab,1.777777778,13.44444444,14,37.33333333,9,9,4,1260,90
Mark Krentel,0,10,1,0,0,0,14,0,0
Mark L. Chang,1.25,4.5,6,23.25,3,3,4.5,61,10.16666667
Mark L. McKelvin Jr.,3,11,1,38,2,1,6,27,27
Mark L. Sabiers,1,2,1,32,1,0,0,5,5
Mark Landguth,1,6,1,18,1,1,0,183,183
Mark Lawford,2.428571429,9,9,58.71428571,9,9,3.428571429,298,33.11111111
Mark Leone,1.2,2.6,12,31.2,5,5,12.4,433,36.08333333
Mark Lillibridge,1.222222222,4.444444444,16,36,9,9,7.777777778,2607,162.9375
Mark Linesch,1,3,1,37,0,0,0,0,0
Mark M. Budnik,2.333333333,6.666666667,7,44.33333333,2,1,4.333333333,28,4
Mark M. Gourary,1.857142857,10.14285714,11,52.14285714,5,1,3.428571429,80,7.272727273
Mark M. Mathis,1.4,2.2,7,42.6,5,5,1.4,102,14.57142857
Mark Marikos,1,11,1,37,0,0,0,0,0
Mark Marron,1.5,7.333333333,6,20.66666667,9,9,12.83333333,328,54.66666667
Mark Maxson,1,5,1,25,0,0,0,0,0
Mark Mazina,1.333333333,25,4,28.66666667,4,3,0,574,143.5
Mark McCartney,1.5,8.5,2,33.5,2,2,0.5,62,31
Mark Megerian,1.333333333,26.33333333,3,36.33333333,2,1,4.666666667,54,18
Mark Miller,1.125,5.875,24,41.125,4,4,0,152,6.333333333
Mark Milligan,1,9,1,34,0,0,0,0,0
Mark Milward,2.5,11.33333333,6,57.33333333,6,2,2.5,125,20.83333333
Mark Moir,3.5625,9.375,16,84.125,32,44,17.5,3875,242.1875
Mark Muir,6,41.5,2,113,4,1,6,86,43
Mark Murphy,1,46,1,37,1,1,9,258,258
Mark N. Haynie,1,0.6,9,29.8,3,1,0.8,46,5.111111111
Mark N. Wegman,1.842105263,4.368421053,33,55,21,23,5.631578947,8107,245.6666667
Mark N. Yankelevsky,1.5,3.5,2,37,2,1,2,18,9
Mark Nagel,1.333333333,2.666666667,4,42.66666667,1,0,1,4,1
Mark Oden,1,4,1,14,1,1,0,13,13
Mark Oskin,2.909090909,10.36363636,11,90.63636364,16,21,28.09090909,1365,124.0909091
Mark P. Jones,2.25,1.416666667,17,49.66666667,18,19,8.916666667,2295,135
Mark P. Mendell,1.75,62.75,4,46,6,5,7.75,598,149.5
Mark P. Sears,1.5,3.5,10,52,0,0,0,0,0
Mark P. Tennant,2,6,1,36,1,0,0,2,2
Mark Pinto,1,5,1,34,0,0,0,0,0
Mark Plesko,1,4,7,42,2,2,10,486,69.42857143
Mark Po-Hung Lin,1,19,2,32,0,0,8.5,0,0
Mark Ponton,0,10,1,0,0,0,0,0,0
Mark Potsdam,1,6,1,38,1,0,0,8,8
Mark R. Beaumont,0,5,1,0,0,0,0,0,0
Mark R. Fahey,1.5,6,8,47.75,9,9,2.125,299,37.375
Mark R. Greenstreet,2.588235294,4.117647059,21,44.35294118,18,25,14.47058824,1237,58.9047619
Mark R. Hartoog,1,3,12,32,1,1,2,95,7.916666667
Mark R. Shinwell,1.6,2.2,6,56.6,5,4,9.6,415,69.16666667
Mark R. Swanson,2.125,7,12,48.125,11,12,3.25,490,40.83333333
Mark R. Thistle,1,2.25,6,26.25,2,2,1,196,32.66666667
Mark Redford,1,19,1,21,1,1,0,18,18
Mark Reed,2.666666667,12.33333333,5,106,4,2,0,53,10.6
Mark Resnick,1,2,2,32,1,0,0,3,1.5
Mark Roberts,1.285714286,5.714285714,14,32.28571429,5,5,4.428571429,224,16
Mark Roth,0,20,1,0,0,0,0,0,0
Mark Russinovich,1.25,2.25,9,60.5,5,4,3.75,240,26.66666667
Mark S. Anderson,1.5,3,10,28,4,2,0,58,5.8
Mark S. Gordon,2.125,11.125,13,52.375,9,8,3.75,343,26.38461538
Mark S. K. Lau,1,6,7,32,2,0,1.333333333,6,0.857142857
Mark S. Mirotznik,1.333333333,7,5,32.66666667,3,2,0,31,6.2
Mark S. Papamarcos,1,1,15,44,2,2,1,772,51.46666667
Mark S. Shephard,2.461538462,14.15384615,27,32.07692308,16,19,1.461538462,692,25.62962963
Mark S. Squillante,4.2,10.45,21,101.2,28,45,12.35,2505,119.2857143
Mark Seager,1.5,3,11,43.5,0,0,0,0,0
Mark Segal,1.142857143,7.285714286,23,67.42857143,5,5,5.142857143,850,36.95652174
Mark Seigle,2,8,1,56,2,2,17,491,491
Mark Seligman,1.222222222,4.444444444,17,37.55555556,7,4,2.555555556,166,9.764705882
Mark Shand,1.181818182,2.272727273,20,23.27272727,6,5,1.727272727,782,39.1
Mark Sherman,1.125,3.25,9,32,4,3,0.75,163,18.11111111
Mark Shields,1.5,4.5,21,35.66666667,8,8,13.16666667,562,26.76190476
Mark Silberstein,2,22.33333333,7,35,3,3,9.666666667,127,18.14285714
Mark Spining,1,2,5,27,3,3,1.666666667,58,11.6
Mark Stefik,2.05,4.4,32,62.9,20,24,1.35,7236,226.125
Mark Stephenson,1.5,5,6,32.5,5,4,16.5,526,87.66666667
Mark Stillwell,0,22,1,0,0,0,19,0,0
Mark Streeter,1,13,1,32,0,0,0,0,0
Mark Streich,1,4.5,3,12,2,2,0,132,44
Mark Sweet,1,20,1,32,1,1,0,120,120
Mark Sweiger,1,1,1,50,1,1,3,72,72
Mark T. Jones,2.214285714,5.642857143,19,40.64285714,14,18,2.071428571,506,26.63157895
Mark Taylor,3,22.5,2,57.5,4,2,9,59,29.5
Mark Templeton,1,8,1,32,0,0,0,0,0
Mark Thompson,2.333333333,15.5,8,35.16666667,8,8,15.16666667,395,49.375
Mark Tobenkin,2,26,1,44,2,1,7,25,25
Mark Tomzak,1,3,1,12,1,0,0,2,2
Mark Underseth,1,2,1,16,0,0,0,0,0
Mark Vershel,1,2,1,32,0,0,0,0,0
Mark Vincent LaPolla,1.25,2.25,8,45.75,4,2,2.5,42,5.25
Mark W. Bailey,2,8.625,14,37.75,6,4,11.75,188,13.42857143
Mark W. Storer,1.25,6.5,4,28.5,5,5,22,198,49.5
Mark W. Weiss,1,3,2,14,1,0,0,3,1.5
Mark Wagner,1,6.333333333,17,26.66666667,2,1,0,26,1.529411765
Mark Weiser,1.869565217,2.695652174,27,62.56521739,23,26,3.739130435,24817,919.1481481
Mark Whitney,1.25,5.5,5,40,5,5,7.75,83,16.6
Mark Woh,1.5,24,4,49.75,5,5,11.75,338,84.5
Mark Zwolinski,2.428571429,7.642857143,19,65.42857143,10,10,4.428571429,309,16.26315789
Mark van den Brand,3,14,14,63.21428571,18,23,7.642857143,2364,168.8571429
Mark-Jan Nederhof,2.941176471,3.411764706,18,128.4117647,15,28,12.82352941,1044,58
Mark-Oliver Stehr,2.5,8.5,12,41.83333333,13,17,13.83333333,676,56.33333333
Marke Clinger,1,0,7,94.5,1,0,0,6,0.857142857
Markku Moilanen,1.666666667,7.333333333,4,64,2,0,2.333333333,6,1.5
Markku Tamminen,2.272727273,2.727272727,12,84.36363636,15,18,2.727272727,828,69
Marko Bertogna,2.333333333,17.33333333,4,43,7,7,9.333333333,395,98.75
Marko H\xc3\xa4nnik\xc3\xa4inen,5.8,26.7,10,115.2,16,28,10.8,1127,112.7
Marko Miklo,0,10,1,0,0,0,0,0,0
Marko P. Chew,1,2.5,9,22,1,0,1,3,0.333333333
Marko Wolf,2.333333333,10.33333333,4,32.66666667,4,3,5,109,27.25
Markos E. Papadonikolakis,1,2,2,22,2,2,0.5,48,24
Markos Papadonikolakis,2,5,1,32,2,0,0,10,10
Markus Alexander Wischy,1.75,3.75,6,24.25,4,1,0,37,6.166666667
Markus Augel,1,1,4,6,1,0,0,5,1.25
Markus B\xc3\xbchler,1.25,9,11,25.75,4,2,4.75,49,4.454545455
Markus Becker,2,13,12,57.88888889,12,14,8.111111111,608,50.66666667
Markus Bingesser,1,8,1,34,1,0,0,2,2
Markus Briese,1,13,1,5,1,0,0,1,1
Markus Caspar,1,0,1,8,0,0,0,0,0
Markus Dahlweid,1,41,1,0,0,0,33,0,0
Markus Damm,2.333333333,19.66666667,3,26.66666667,4,0,0,32,10.66666667
Markus Debusmann,2.285714286,5,9,30.28571429,7,5,0,187,20.77777778
Markus Dielacher,0,25,1,0,0,0,0,0,0
Markus Dietl,1.666666667,8.666666667,3,28.66666667,5,5,2.666666667,230,76.66666667
Markus Dorsch,1,7,1,38,1,0,0,6,6
Markus E. Lautenbacher,2,2,1,19,1,0,0,1,1
Markus Eisenbach,1,20.5,3,21,1,0,0,1,0.333333333
Markus Geimer,2.75,28.25,4,31.5,8,7,8.75,235,58.75
Markus Glatter,1.5,10,3,38,2,2,11.5,39,13
Markus Gro\xc3\x9f,0,6,1,0,0,0,0,0,0
Markus H\xc3\xbctter,1.333333333,3,4,42.66666667,2,2,0,47,11.75
Markus Hegland,2.307692308,6.538461538,16,60.61538462,12,12,3,354,22.125
Markus Jung,1,20,1,14,1,1,0,16,16
Markus K\xc3\xb6ster,1.25,4.5,6,19.5,4,2,0,52,8.666666667
Markus Koester,1.6,10,5,26.4,7,7,0,146,29.2
Markus Kowarschik,1.857142857,8.285714286,10,28.71428571,8,7,0.428571429,218,21.8
Markus Kr\xc3\xa4utner,1,2.5,2,33,1,0,0,7,3.5
Markus Kuhl,0,8,1,0,0,0,0,0,0
Markus Leberecht,2.6,5,7,39.2,5,4,0,105,15
Markus Levy,2.333333333,8,4,62.66666667,3,2,0.666666667,89,22.25
Markus Lorenz,1.666666667,5,4,38.66666667,5,5,11,114,28.5
Markus M\xc3\xb6ller,1,13,1,35,1,1,0,83,83
Markus M\xc3\xbcller-Olm,2.857142857,5,17,49.07142857,18,26,10.85714286,1021,60.05882353
Markus Meissner,1,14,1,5,0,0,0,0,0
Markus Mock,1.5,4.25,13,30.625,8,8,18,569,43.76923077
Markus Mohnen,2.142857143,0.571428571,8,26.14285714,4,2,4.142857143,54,6.75
Markus Oertel,0,13,1,0,0,0,0,0,0
Markus Olbrich,2.142857143,11.28571429,11,41.85714286,5,2,5.571428571,74,6.727272727
Markus P\xc3\xbcschel,4.454545455,18.54545455,12,141.5454545,22,30,10.90909091,1164,97
Markus Petri,1,19,1,12,0,0,0,0,0
Markus Pistauer,3,19,4,36,4,4,0.333333333,84,21
Markus Pister,1.75,7.25,5,26,4,3,12.75,75,15
Markus Pizka,3.666666667,5.444444444,12,58.22222222,12,13,3.444444444,570,47.5
Markus Ramsauer,1,0,3,5.333333333,1,0,0,5,1.666666667
Markus Reiband,1,4,1,14,1,0,0,8,8
Markus Ringhofer,1,2,1,16,1,1,9,74,74
Markus Rullmann,1.6,5.8,6,33,4,2,0,39,6.5
Markus Schmidberger,1,2,1,38,1,0,0,7,7
Markus Schneider,6.928571429,18.35714286,16,122.5714286,25,46,22,3874,242.125
Markus Schordan,1.9,9,11,29.1,10,10,0.4,313,28.45454545
Markus Schwarz,1.5,4,19,21.75,2,0,4.25,7,0.368421053
Markus Schwiegershausen,2.333333333,5.333333333,7,49,5,3,0,79,11.28571429
Markus Siegle,2.266666667,5.533333333,18,39,15,18,10.6,937,52.05555556
Markus St\xc3\xbcrmer,1,16,1,8,1,0,0,6,6
Markus Struzyna,1,1.5,4,30,1,1,7.5,17,4.25
Markus Thaler,1,7.25,10,19.5,4,1,3.75,97,9.7
Markus Thei\xc3\x9finger,1.5,1.5,3,39.5,1,1,1.5,53,17.66666667
Markus Tristl,0,7,1,0,0,0,0,0,0
Markus Ullrich,0,5,1,0,0,0,0,0,0
Markus Voss,1.75,2.25,13,33.5,4,2,1.5,37,2.846153846
Markus Walter,1,7,1,8,1,0,0,2,2
Markus Wannemacher,1.25,2.25,9,10.25,2,1,1,24,2.666666667
Markus Wedler,2.571428571,17.14285714,7,51.14285714,7,6,8.714285714,144,20.57142857
Markus Weinhardt,1.625,2.625,10,32.875,10,10,17.5,779,77.9
Markus Wenk,2,17.33333333,3,44.66666667,4,3,0.333333333,212,70.66666667
Markus Wild,1,2.5,2,7,1,0,0,8,4
Markus Willems,1,4.333333333,3,34,3,3,2.666666667,248,82.66666667
Markus Winter,1.4,10.2,8,28.4,5,3,3.6,137,17.125
Markus Winterholer,1.25,5.5,7,29.25,4,3,4.25,128,18.28571429
Markus Wolf,1.285714286,1.714285714,13,24.57142857,5,4,0.428571429,317,24.38461538
Markus Zolg,1,2,3,32,2,1,5,24,8
Marleen Ad\xc3\xa9,1.4,5.2,6,34.6,6,4,1.2,259,43.16666667
Marleen Boonen,1,7,1,11,1,0,0,1,1
Marlene Wan,1.5,5.5,4,46.5,3,2,3.5,135,33.75
Marley B. R. Vellasco,3,9.4,17,45.13333333,14,19,2.2,547,32.17647059
Marlin H. Mickle,1.727272727,8.090909091,42,31.18181818,7,6,3.818181818,186,4.428571429
Marlo R. Schaffner,1,0,1,50,1,0,1,2,2
Marlon E. Pierce,7.857142857,42.42857143,7,137.7142857,16,32,4.142857143,811,115.8571429
Marlon Moraes,1,3.666666667,3,11.33333333,2,0,0,13,4.333333333
Marly Roncken,1.7,6.3,27,22.3,11,11,0.8,442,16.37037037
Marnix Arnold,1,1.333333333,3,30.66666667,3,2,4.666666667,152,50.66666667
Marnix C. Vlot,2,2,1,35,1,0,0,2,2
Marong Phadoongsidhi,1,2.6,5,11.6,3,1,0,21,4.2
Maroun Kassab,1,4,7,25,1,1,3,28,4
Marrq Ellenbecker,1,2,1,37,1,1,0,10,10
Marsha Eng,1.666666667,8.333333333,5,33.66666667,4,2,3.666666667,77,15.4
Marsha J. Berger,1.5,2.5,23,41.33333333,8,8,0.666666667,763,33.17391304
Marshnil Vipin Dave,1,22,1,18,1,0,5,2,2
Mart W. M. Graef,0,4,1,0,0,0,0,0,0
Mart\xc3\xadn Abadi,7.708333333,13.5,24,209.4583333,83,157,31.66666667,34764,1448.5
Mart\xc3\xadn Matamala,2.5,5.428571429,15,54.78571429,7,5,1.357142857,149,9.933333333
Marta Jim\xc3\xa9nez,1.285714286,3.285714286,14,35.85714286,6,5,5.285714286,111,7.928571429
Marta Kosarchyn,1,3.5,8,26,2,2,0,32,4
Marta Ort\xc3\xadn-Ob\xc3\xb3n,0,4,1,0,0,0,0,0,0
Marta Portela-Garc\xc3\xada,2.2,17.6,5,53.4,4,2,0.2,48,9.6
Marta Saburit,1,1,1,34,0,0,0,0,0
Marta Z. Kwiatkowska,4.95,19.45,20,101,41,80,19.3,5437,271.85
Marten Kabutz,0,5,1,0,0,0,0,0,0
Marten van Dijk,3.384615385,14.46153846,15,121.3846154,24,31,9.692307692,2337,155.8
Marten van Hulst,1,14,1,34,0,0,0,0,0
Martha A. Kim,0,8,1,0,0,0,0,0,0
Martha E. Pollack,3.391304348,6.826086957,27,114.8695652,38,59,8.47826087,6634,245.7037037
Martha Mercaldi,2.666666667,14.33333333,3,110.6666667,6,6,56.33333333,213,71
Martha Mercaldi Kim,1,3,2,50,2,1,13,48,24
Martha W. Evens,3.791666667,11.79166667,28,80.58333333,18,32,2.916666667,1305,46.60714286
Martial Michel,1.166666667,8.833333333,10,22.66666667,5,4,0.166666667,231,23.1
Martijn Bennebroek,0,7,1,0,0,0,0,0,0
